"","SEX","SCIAN","tdhr"
"1",1,"1",157642204
"2",1,"2",4526997
"3",1,"3",4200067
"4",1,"4",102941841
"5",1,"5",138714456
"6",1,"6",29214389
"7",1,"7",96375927
"8",1,"8",54272183
"9",1,"9",6725113
"10",1,"10",7231728
"11",1,"11",5061463
"12",1,"12",19910918
"13",1,"13",743330
"14",1,"14",25006423
"15",1,"15",25212370
"16",1,"16",13000314
"17",1,"17",8173231
"18",1,"18",40736310
"19",1,"19",54028008
"20",1,"20",38017333
"21",2,"1",19500858
"22",2,"2",534329
"23",2,"3",969097
"24",2,"4",3972721
"25",2,"5",83779849
"26",2,"6",9754742
"27",2,"7",121291068
"28",2,"8",4966981
"29",2,"9",3528948
"30",2,"10",6795938
"31",2,"11",3023311
"32",2,"12",14172871
"33",2,"13",571805
"34",2,"14",13596082
"35",2,"15",41672805
"36",2,"16",28096782
"37",2,"17",2869716
"38",2,"18",59864345
"39",2,"19",75990599
"40",2,"20",24178103
