"","SEX","EDA","fit","se.fit","residual.scale","UL","LL","PredictedProb"
"1","1",15,-2.39174531992431,0.00948114857493,1,0.0852422347530341,0.0823884896601502,0.0838043268271922
"2","2",20.5555555555556,-2.00398560809477,0.00801784576716356,1,0.120439941569448,0.117149954492269,0.118785093433095
"3","1",26.1111111111111,-2.26481432532914,0.00757712462483053,1,0.0953526425973332,0.0928211168490499,0.0940792493439091
"4","2",31.6666666666667,-1.87705461349959,0.0063429722313807,1,0.134165184185368,0.131302990791074,0.132727553164963
"5","1",37.2222222222222,-2.13788333073396,0.00610449670046391,1,0.106603083793802,0.104345414315741,0.10546892046434
"6","2",42.7777777777778,-1.75012361890441,0.00533967843746757,1,0.149356399259339,0.146716538403412,0.148031606753423
"7","1",48.3333333333333,-2.01095233613878,0.00542663481885245,1,0.119169734196621,0.116954832291356,0.118057784360579
"8","2",53.8888888888889,-1.62319262430923,0.00539652277012624,1,0.166225810752923,0.16331458944098,0.164765038779556
"9","1",59.4444444444444,-1.8840213415436,0.0058278018200548,1,0.133241300222568,0.130625012133854,0.131927656403764
"10","2",65,-1.49626162971405,0.00648568988673304,1,0.184891860059055,0.181090958079769,0.182983750553837
"11","1",15,-2.39174531992431,0.00948114857493,1,0.0852422347530341,0.0823884896601502,0.0838043268271922
"12","2",20.5555555555556,-2.00398560809477,0.00801784576716356,1,0.120439941569448,0.117149954492269,0.118785093433095
"13","1",26.1111111111111,-2.26481432532914,0.00757712462483053,1,0.0953526425973332,0.0928211168490499,0.0940792493439091
"14","2",31.6666666666667,-1.87705461349959,0.0063429722313807,1,0.134165184185368,0.131302990791074,0.132727553164963
"15","1",37.2222222222222,-2.13788333073396,0.00610449670046391,1,0.106603083793802,0.104345414315741,0.10546892046434
"16","2",42.7777777777778,-1.75012361890441,0.00533967843746757,1,0.149356399259339,0.146716538403412,0.148031606753423
"17","1",48.3333333333333,-2.01095233613878,0.00542663481885245,1,0.119169734196621,0.116954832291356,0.118057784360579
"18","2",53.8888888888889,-1.62319262430923,0.00539652277012624,1,0.166225810752923,0.16331458944098,0.164765038779556
"19","1",59.4444444444444,-1.8840213415436,0.0058278018200548,1,0.133241300222568,0.130625012133854,0.131927656403764
"20","2",65,-1.49626162971405,0.00648568988673304,1,0.184891860059055,0.181090958079769,0.182983750553837
"21","1",15,-2.39174531992431,0.00948114857493,1,0.0852422347530341,0.0823884896601502,0.0838043268271922
"22","2",20.5555555555556,-2.00398560809477,0.00801784576716356,1,0.120439941569448,0.117149954492269,0.118785093433095
"23","1",26.1111111111111,-2.26481432532914,0.00757712462483053,1,0.0953526425973332,0.0928211168490499,0.0940792493439091
"24","2",31.6666666666667,-1.87705461349959,0.0063429722313807,1,0.134165184185368,0.131302990791074,0.132727553164963
"25","1",37.2222222222222,-2.13788333073396,0.00610449670046391,1,0.106603083793802,0.104345414315741,0.10546892046434
"26","2",42.7777777777778,-1.75012361890441,0.00533967843746757,1,0.149356399259339,0.146716538403412,0.148031606753423
"27","1",48.3333333333333,-2.01095233613878,0.00542663481885245,1,0.119169734196621,0.116954832291356,0.118057784360579
"28","2",53.8888888888889,-1.62319262430923,0.00539652277012624,1,0.166225810752923,0.16331458944098,0.164765038779556
"29","1",59.4444444444444,-1.8840213415436,0.0058278018200548,1,0.133241300222568,0.130625012133854,0.131927656403764
"30","2",65,-1.49626162971405,0.00648568988673304,1,0.184891860059055,0.181090958079769,0.182983750553837
"31","1",15,-2.39174531992431,0.00948114857493,1,0.0852422347530341,0.0823884896601502,0.0838043268271922
"32","2",20.5555555555556,-2.00398560809477,0.00801784576716356,1,0.120439941569448,0.117149954492269,0.118785093433095
"33","1",26.1111111111111,-2.26481432532914,0.00757712462483053,1,0.0953526425973332,0.0928211168490499,0.0940792493439091
"34","2",31.6666666666667,-1.87705461349959,0.0063429722313807,1,0.134165184185368,0.131302990791074,0.132727553164963
"35","1",37.2222222222222,-2.13788333073396,0.00610449670046391,1,0.106603083793802,0.104345414315741,0.10546892046434
"36","2",42.7777777777778,-1.75012361890441,0.00533967843746757,1,0.149356399259339,0.146716538403412,0.148031606753423
"37","1",48.3333333333333,-2.01095233613878,0.00542663481885245,1,0.119169734196621,0.116954832291356,0.118057784360579
"38","2",53.8888888888889,-1.62319262430923,0.00539652277012624,1,0.166225810752923,0.16331458944098,0.164765038779556
"39","1",59.4444444444444,-1.8840213415436,0.0058278018200548,1,0.133241300222568,0.130625012133854,0.131927656403764
"40","2",65,-1.49626162971405,0.00648568988673304,1,0.184891860059055,0.181090958079769,0.182983750553837
