"","SEX","EDA","tdhr"
"1",1,13,1689695
"2",1,14,2636441
"3",1,15,2732702
"4",1,16,3498571
"5",1,17,3774806
"6",1,18,4499437
"7",1,19,4542071
"8",1,20,4436398
"9",1,21,3952873
"10",1,22,3549413
"11",1,23,3490739
"12",1,24,3135383
"13",1,25,2671203
"14",1,26,2902373
"15",1,27,2323687
"16",1,28,1832958
"17",1,29,1732370
"18",1,30,1756222
"19",1,31,1710151
"20",1,32,1247349
"21",1,33,1150231
"22",1,34,1243238
"23",1,35,1159736
"24",1,36,1174293
"25",1,37,1133012
"26",1,38,974552
"27",1,39,1145187
"28",1,40,1033326
"29",1,41,1074224
"30",1,42,893388
"31",1,43,917764
"32",1,44,964289
"33",1,45,1004853
"34",1,46,1125519
"35",1,47,1010095
"36",1,48,832803
"37",1,49,1328265
"38",1,50,1042449
"39",1,51,1520520
"40",1,52,942187
"41",1,53,1536535
"42",1,54,1178334
"43",1,55,1172646
"44",1,56,1001892
"45",1,57,991575
"46",1,58,894591
"47",1,59,1146464
"48",1,60,922954
"49",1,61,1218004
"50",1,62,1078364
"51",1,63,964302
"52",1,64,1225138
"53",1,65,1015610
"54",1,66,1219702
"55",1,67,1208865
"56",1,68,795886
"57",1,69,996361
"58",1,70,777220
"59",1,71,1010937
"60",1,72,891956
"61",1,73,926238
"62",1,74,703840
"63",1,75,760986
"64",1,76,571852
"65",1,77,588966
"66",1,78,510728
"67",1,79,591488
"68",1,80,498887
"69",1,81,718439
"70",1,82,442163
"71",1,83,454609
"72",1,84,394241
"73",1,85,271601
"74",1,86,351749
"75",1,87,199430
"76",1,88,278342
"77",1,89,150682
"78",1,90,220522
"79",1,91,87088
"80",1,92,69256
"81",1,93,39474
"82",1,94,29685
"83",1,95,44716
"84",1,96,34263
"85",1,97,20956
"86",1,98,44892
"87",1,99,106522
"88",2,13,1304525
"89",2,14,1613308
"90",2,15,2596517
"91",2,16,2997455
"92",2,17,3809408
"93",2,18,3903598
"94",2,19,4641378
"95",2,20,4267617
"96",2,21,4029867
"97",2,22,4129684
"98",2,23,3875727
"99",2,24,3574262
"100",2,25,3254862
"101",2,26,3144573
"102",2,27,2920644
"103",2,28,2868900
"104",2,29,3162341
"105",2,30,3189041
"106",2,31,2771280
"107",2,32,2343596
"108",2,33,2320715
"109",2,34,2345592
"110",2,35,2690484
"111",2,36,2670715
"112",2,37,2611199
"113",2,38,2732614
"114",2,39,2535593
"115",2,40,2390115
"116",2,41,2817208
"117",2,42,2498667
"118",2,43,2415712
"119",2,44,2433494
"120",2,45,2172154
"121",2,46,2299494
"122",2,47,2412291
"123",2,48,2271656
"124",2,49,2576486
"125",2,50,2256712
"126",2,51,2418952
"127",2,52,2061794
"128",2,53,1977384
"129",2,54,1833616
"130",2,55,2028769
"131",2,56,1770986
"132",2,57,1698529
"133",2,58,1741000
"134",2,59,1621900
"135",2,60,1611705
"136",2,61,1619935
"137",2,62,1455110
"138",2,63,1169322
"139",2,64,1411423
"140",2,65,1441021
"141",2,66,1408078
"142",2,67,1205704
"143",2,68,1084199
"144",2,69,1268363
"145",2,70,985710
"146",2,71,858529
"147",2,72,966900
"148",2,73,718847
"149",2,74,682721
"150",2,75,604246
"151",2,76,690136
"152",2,77,589973
"153",2,78,515836
"154",2,79,553953
"155",2,80,640513
"156",2,81,445483
"157",2,82,343454
"158",2,83,384618
"159",2,84,345999
"160",2,85,238894
"161",2,86,247036
"162",2,87,177510
"163",2,88,143196
"164",2,89,118214
"165",2,90,92044
"166",2,91,82829
"167",2,92,58371
"168",2,93,79872
"169",2,94,39790
"170",2,95,30444
"171",2,96,29335
"172",2,97,21582
"173",2,98,58060
"174",2,99,60209
